Time,Data,Average,SD
 13:46:54   ,836.0,627.3,171.19
 13:46:57   ,768.0,626.9,165.76
 13:47:00   ,370.0,594.4,183.16
 13:47:03   ,820.0,656.9,180.86
 13:47:06   ,338.0,577.3,205.04
 13:47:09   ,339.0,616.7,209.93
 13:47:12   ,755.0,647.5,205.37
 13:47:15   ,521.0,576.7,210.68
 13:47:18   ,745.0,643.6,196.21
 13:47:21   ,260.0,570.9,216.75
 13:47:24   ,746.0,623.8,197.21
 13:47:27   ,432.0,534.8,204.67
 13:47:30   ,716.0,561.0,206.04
 13:47:33   ,826.0,578.2,211.64
 13:47:36   ,788.0,564.0,197.24
 13:47:39   ,782.0,612.2,195.12
 13:47:42   ,538.0,632.7,175.91
 13:47:45   ,759.0,657.5,178.22
 13:47:48   ,748.0,658.1,176.4
 13:47:51   ,820.0,666.7,181.98
 13:47:54   ,349.0,668.4,158.05
 13:47:57   ,826.0,723.5,126.18
 13:48:00   ,830.0,715.6,146.53
 13:48:03   ,469.0,690.5,163.8
 13:48:06   ,379.0,681.9,177.94
 13:48:09   ,477.0,659.8,172.06
 13:48:12   ,807.0,652.5,186.47
 13:48:15   ,799.0,645.6,190.39
 13:48:18   ,405.0,611.0,199.52
 13:48:21   ,330.0,608.6,212.4
 13:48:24   ,541.0,588.2,192.53
 13:48:27   ,427.0,574.9,200.53
 13:48:30   ,704.0,574.1,183.03
 13:48:33   ,797.0,543.1,177.3
 13:48:36   ,311.0,518.0,178.28
 13:48:39   ,340.0,562.7,185.8
 13:48:42   ,808.0,592.9,200.67
 13:48:45   ,814.0,546.8,200.54
 13:48:48   ,401.0,506.4,184.48
 13:48:51   ,722.0,579.4,201.68
 13:48:54   ,490.0,563.3,190.12
 13:48:57   ,705.0,602.9,196.26
 13:49:00   ,684.0,607.1,190.51
 13:49:03   ,774.0,616.2,196.02
 13:49:06   ,818.0,609.3,192.74
 13:49:09   ,729.0,646.7,163.23
 13:49:12   ,847.0,706.3,141.26
 13:49:15   ,434.0,657.1,148.28
 13:49:18   ,805.0,697.5,136.78
 13:49:21   ,898.0,710.1,139.88
 13:49:24   ,362.0,664.8,164.28
 13:49:27   ,729.0,742.3,120.86
 13:49:30   ,760.0,711.1,167.24
 13:49:33   ,159.0,655.5,234.69
 13:49:36   ,709.0,709.1,165.92
